GeoName,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii *,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2009,32769,47258,33524,31472,41689,40093,59684,40856,60143,36818,34274,41082,31281,41180,34267,37286,39431,32397,36930,37157,48448,50772,34307,41079,30157,36385,34689,39535,36231,45101,49854,32911,47027,35933,40212,35755,35917,35313,40530,40610,32010,39518,34446,37269,31858,40479,44087,41591,31718,38182,44564
2010,33946,49652,33876,32372,43246,40790,61743,40942,63368,38872,34829,41574,32097,42278,35695,38312,39960,33409,38242,38106,49668,52894,35760,42724,31287,37118,36393,41248,37494,47098,51076,33710,48768,35872,44264,36854,37276,36036,42251,42766,32852,41423,35851,39034,32218,41733,45513,42348,32762,39175,46649
2011,35010,52569,35321,34279,45557,43658,63132,43962,67005,40517,36842,42809,33579,44194,37799,41036,43015,34799,39124,39690,51845,54812,37781,45323,32546,38533,38558,45674,38777,49131,52947,35045,50904,36902,49000,39245,39800,37596,44211,44201,34479,44758,37727,42037,34190,43982,47608,44225,34581,41209,50783
2012,35824,53708,36545,36582,48121,45630,64121,44070,68148,41540,37495,43812,35110,46029,39433,42873,45294,35875,41003,40411,52787,56669,39266,47726,33657,40317,40701,46670,39909,51123,54574,35749,53102,39103,56443,40759,42232,39371,45855,45601,35989,45442,39373,44241,36005,45277,49309,47320,35453,42944,54213
2013,36014,52812,37139,36677,48502,47404,62647,44404,67774,41162,37794,43931,36095,47047,39766,43439,46174,36058,41376,40329,52249,56628,39566,47838,34259,40569,40674,46653,39664,50865,54813,35088,53395,38394,54900,41259,44017,39788,46213,45447,36204,45608,39454,44816,36511,45770,48573,47857,35318,43050,53776
2014,37055,55867,38756,38749,51266,50797,65498,46015,71469,43516,39969,46044,37680,49238,41188,44699,47013,37645,43085,41797,53659,58924,41207,49967,34896,41963,42494,48957,41773,52643,57065,37219,55290,40293,57523,42829,46614,42134,48063,47199,38152,47488,40753,47370,38168,47641,50318,50890,36570,44709,57749
