,Alaska,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2009,0.698,4.71,6.6,2.89,36.96,5.03,3.58,0.6,0.89173,18.54,9.83,1.3,1.55,12.91,6.42,3.01,2.82,4.31,4.49,1.32,5.7,6.59,9.97,5.27,2.95,5.99,0.98,1.8,2.64,1.33,8.71,2.01,19.54,9.38,0.65,11.54,3.69,3.83,12.61,1.05,4.56,0.81,,24.78,2.79,0.62,7.88,6.66,1.82,5.66,0.54
2010,0.71398,4.79,6.41,2.92,37.32,5.05,3.58,0.60528,0.89793,18.85,9.71,1.36,1.57,12.84,6.49,3.05,2.86,4.35,4.54,1.33,5.79,6.57,9.88,5.31,2.97,6,0.99,1.83,2.7,1.32,8.8,2.06,19.4,9.57,0.67,11.54,3.76,3.84,12.71,1.05,4.64,0.82,,25.24,2.78,0.63,8.02,6.74,1.85,5.69,0.56
2011,0.72235,4.8,6.47,2.94,37.64,5.12,3.59,0.62029,0.89795,19.05,9.8,1.38,1.58,12.87,6.52,3.07,2.87,4.37,4.58,1.33,5.84,6.61,9.88,5.35,2.98,6.01,1,1.84,2.71,1.32,8.83,2.08,19.5,9.66,0.69,11.54,3.79,3.87,12.75,1.05,4.67,0.82,,25.65,2.81,0.63,8.1,6.83,1.86,5.71,0.57
2012,0.73081,4.82,6.55,2.95,37.95,5.19,3.59,0.63574,0.91552,19.3,9.9,1.39,1.6,12.88,6.54,3.08,2.89,4.39,4.6,1.33,5.89,6.66,9.9,5.38,2.98,6.02,1,1.85,2.74,1.32,8.84,2.09,19.57,9.75,0.7,11.55,3.82,3.9,12.77,1.05,4.72,0.83,,26.08,2.85,0.63,8.19,6.9,1.86,5.72,0.58
2013,0.73763,4.83,6.63,2.96,38.26,5.27,3.59,0.65156,0.92406,19.55,9.97,1.41,1.61,12.9,6.57,3.09,2.89,4.4,4.62,1.33,5.92,6.71,9.91,5.41,2.99,6.04,1.01,1.87,2.78,1.33,8.86,2.09,19.62,9.85,0.72,11.58,3.85,3.92,12.78,1.06,4.76,0.84,,26.48,2.9,0.63,8.25,6.96,1.85,5.74,0.58
2014,0.73708,4.84,6.73,2.97,38.6,5.35,3.59,0.6636,0.93313,19.85,10.07,1.41,1.63,12.88,6.59,3.11,2.9,4.41,4.64,1.33,5.96,6.76,9.93,5.45,2.99,6.06,1.02,1.88,2.82,1.33,8.86,2.09,19.65,9.94,0.74,11.61,3.88,3.97,12.79,1.06,4.83,0.85,,26.96,2.94,0.63,8.31,7.05,1.85,5.75,0.58
